Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
BaskervilleURW (Bold),BaskervilleURW,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),20,468,496
BaskervilleURW (Regular),BaskervilleURW,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,468,496
BaskervilleURWUltBol (Regular),BaskervilleURWUltBol,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,468,496
BodoniURWExtBol (Regular),BodoniURWExtBol,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),13,360,385
EuroSansPro (Bold),EuroSansPro,Bold,,,Version 1.10,UNKW,Bold,5 (Medium),700 (Bold),13,425,432
EuroSansPro (Regular),EuroSansPro,Regular,,,Version 1.10,UNKW,Regular,5 (Medium),400 (Normal),13,425,432
Eurostile (Bold),Eurostile,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),20,491,542
Eurostile (Regular),Eurostile,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,491,543
EurostileBla (Regular),EurostileBla,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,491,543
EurostileHea (Regular),EurostileHea,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,491,543
EurostileMed (Regular),EurostileMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,491,543
FetteMitD (Regular),FetteMitD,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),18,465,516
FranklinGothicURWBoo (Regular),FranklinGothicURWBoo,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),19,439,447
FranklinGothicURWDem (Regular),FranklinGothicURWDem,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,503,555
FranklinGothicURWHea (Regular),FranklinGothicURWHea,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,503,555
FranklinGothicURWLig (Regular),FranklinGothicURWLig,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),19,444,471
FranklinGothicURWMed (Regular),FranklinGothicURWMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),19,439,447
Futura (Bold),Futura,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),20,494,546
Futura (Regular),Futura,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,494,546
FuturaExtBol (Regular),FuturaExtBol,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,491,543
FuturaLig (Regular),FuturaLig,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,494,546
FuturaMed (Regular),FuturaMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,476,528
GaramondURW (Bold),GaramondURW,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),20,468,493
GaramondURW (Italic),GaramondURW,Italic,,,Version 1.10,URW ,Italic,5 (Medium),400 (Normal),20,483,512
GaramondURW (Regular),GaramondURW,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,468,493
GaramondURWMed (Regular),GaramondURWMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),13,360,385
HandelGotDBol (Regular),HandelGotDBol,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),15,407,438
HandelGotDLig (Regular),HandelGotDLig,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),15,405,436
HandelGotDMed (Regular),HandelGotDMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),15,405,436
MurrayHilD (Regular),MurrayHilD,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),18,470,522
NimbusRomNo9 (Bold Italic),NimbusRomNo9,Bold Italic,,,Version 1.10,URW ,"Italic, Bold",5 (Medium),700 (Bold),18,465,516
NimbusRomNo9 (Bold),NimbusRomNo9,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),18,465,516
NimbusRomNo9T (Italic),NimbusRomNo9T,Italic,,,Version 1.10,URW ,Italic,5 (Medium),400 (Normal),18,463,514
NimbusRomNo9T (Regular),NimbusRomNo9T,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),18,469,521
NimbusRomNo9TMed (Regular),NimbusRomNo9TMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),14,373,402
NimbusSanL (Bold),NimbusSanL,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),22,767,772
NimbusSanL (Regular),NimbusSanL,Regular,,,Version 2.00,URW ,Regular,5 (Medium),400 (Normal),28,1913,1921
NimbusSanNov (Bold),NimbusSanNov,Bold,,,Version 1.10,URW ,Bold,5 (Medium),700 (Bold),20,481,534
NimbusSanNov (Regular),NimbusSanNov,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,495,548
NimbusSanNovBla (Regular),NimbusSanNovBla,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,475,527
NimbusSanNovLig (Regular),NimbusSanNovLig,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),18,470,522
NimbusSanNovMed (Regular),NimbusSanNovMed,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,770,822
NimbusSanNovSemBol (Regular),NimbusSanNovSemBol,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),20,477,529
NimbusSanNovTSemBolCon (Regular),NimbusSanNovTSemBolCon,Regular,,,Version 1.05,URW ,Regular,5 (Medium),400 (Normal),12,258,274
RaldoTSemBol (Regular),RaldoTSemBol,Regular,,,Version 1.05,URW ,Regular,5 (Medium),400 (Normal),14,385,388
TTHiragino Sans GB W3 (Regular),TTHiragino Sans GB W3,Regular,TTHiragino Sans GB,W3,Version 3.20,DS  ,Regular,5 (Medium),300 (Light),40,29026,29064
TTHiragino Sans GB W6 (Regular),TTHiragino Sans GB W6,Regular,TTHiragino Sans GB,W6,Version 3.20,DS  ,Bold,5 (Medium),600 (Semi-bold),40,29026,29064
URWGroteskT (Regular),URWGroteskT,Regular,,,Version 1.10,URW ,Regular,5 (Medium),400 (Normal),22,725,772
腾祥爱情体繁 (Regular),腾祥爱情体繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥爱情体简 (Regular),腾祥爱情体简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥爱情体细繁 (Light),腾祥爱情体细繁,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥爱情体细简 (Light),腾祥爱情体细简,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥笔顺库简 (Regular),腾祥笔顺库简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥伯当草书 (Regular),腾祥伯当草书,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥伯当行楷GB18030 (Regular),腾祥伯当行楷GB18030,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28537,28538
腾祥伯当行楷繁 (Regular),腾祥伯当行楷繁,Regular,,,Version 1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7597,7598
腾祥伯当行楷简 (Regular),腾祥伯当行楷简,Regular,,,Version 1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7597,7598
腾祥潮黑简 (Bold),腾祥潮黑简,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥潮圆简 (Bold),腾祥潮圆简,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥婀娜体繁 (Regular),腾祥婀娜体繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥婀娜体简 (Regular),腾祥婀娜体简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥范笑歌简牍繁 (Regular),腾祥范笑歌简牍繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
